feature,dynamic_ratio,group,target_corr
feature_15,0.0,static,0.21719248151217824
feature_8,0.0025226802530833193,static,-0.962380002822961
feature_9,0.010988568026206886,static,-0.8279508852269394
feature_1,0.15521768480649184,mixed,-0.022870508273659395
feature_10,0.455470277689843,mixed,0.6312760358497651
feature_18,0.8710308988052665,dynamic,-0.043022612935170505
feature_19,0.9223522295636174,dynamic,-0.22815361249491012
feature_14,0.9840006860584177,dynamic,-0.41705301495461483
feature_7,0.9861389124093551,dynamic,0.1910282650497033
feature_2,0.9943718960639313,dynamic,0.10154067201184487
feature_11,0.9983732273253615,dynamic,-0.02644808020425715
feature_17,0.9988799329914619,dynamic,0.16068135517658777
feature_13,0.9993395778809594,dynamic,0.33105286455799326
feature_5,0.9993767728991484,dynamic,0.004001378192112491
feature_12,0.9995806377820685,dynamic,0.05668394805115638
feature_4,0.9997346291391898,dynamic,0.03502360401707928
feature_6,0.9998138764487235,dynamic,-0.055705919403387344
feature_3,0.9998262088609923,dynamic,0.06349754744428947
feature_16,0.9998445900229012,dynamic,0.06164077109544871
feature_20,0.9998484885076069,dynamic,0.060294421247387445
