feature,VIF,target_corr
feature_1,1.570322638398346,-0.02287050827365927
feature_10,4.146113233968271,0.6312760358497648
feature_11,5.00135079347723,-0.02644808020425717
feature_12,3.6537114822106784,0.056683948051156334
feature_13,5.650569408758424,0.3310528645579932
feature_14,6.0935713799654145,-0.41705301495461444
feature_15,1.3761168937162678,0.21719248151217851
feature_16,16.449017163965635,0.06164077109544873
feature_17,4.73984280975352,0.16068135517658777
feature_18,1.109613603881797,-0.04302261293517051
feature_19,3.7618378018354637,-0.22815361249491004
feature_2,5.325366487216,0.10154067201184487
feature_20,20.353301107854335,0.060294421247387445
feature_3,13.677116375602731,0.06349754744428951
feature_4,2.191416714319665,0.03502360401707923
feature_5,8.104760289372136,0.0040013781921124595
feature_6,18.005977379625005,-0.05570591940338732
feature_7,1.248475578006342,0.19102826504970322
feature_8,20.08167388910442,-0.9623800028229608
feature_9,19.126871444250906,-0.8279508852269384
